Alpha3,Country,5Y CDS,EIU Banking Risk,CPI,Currency 3M Volatility,Currency REER,Equity,External Debt,EIU Political Risk,Trade Balance,Unemployment
POL,Poland,POLAND CDS USD SR 5Y CBGN Curncy,EIBAPOLA Index,EHPIPLY Index,USDPLNH3M BGN Curncy,BISBPLR  Index,WIG Index,WDTLPOLA Index,EIPRPOLA Index,POUER Index,
,,,,,,,,,,,
PRT,Portugal,PORTUG CDS USD SR 5Y CBGN Curncy,EIBAPORT INDEX,EHPIPTY Index,EURUSDH3M Curncy,BISBPTR Index,PSI20 Index,WDTLPORT Index,EIPRPORT Index,IUERPRT Index,
,,,,,,,,,,,
QAT,Qatar,QATAR CDS USD SR 5Y CBGN Curncy,EIBAQATA Index,EHPIQAY Index,USDQARH3M BGN Curncy,,DSM Index,,EIPRQATA Index,,
,,,,,,,,,,,
ROU,Romania,ROMANI CDS USD SR 5Y CBGN Curncy,EIBAROMA Index,EHPIROY Index,USDRONH3M BGN Curncy,BISBROR  Index,BET Index,WBEDROM  Index,EIPRROMA Index,ROUERATE Index,
,,,,,,,,,,,
RUS,Russia,RUSSIA CDS USD SR 5Y CBGN Curncy,EIBARUSS Index,EHPIRUY Index,USDRUBH3M BGN Curncy,BISBRUR  Index,INDEXCF Index,WDTLRUSS Index,EIPRRUSS Index,RUUER Index,
,,,,,,,,,,,
SAU,Saudi Arabia,SAUDIARAB CDS USD SR 5Y MSG1 Curncy,EIBASAUD Index,EHPISAY Index,USDSARH3M Curncy,BISBSAR  Index,SASEIDX Index,,EIPRSAUD Index,EHUPSAY Index,
,,,,,,,,,,,
SGP,Singapore,SINGP CDS USD SR 5Y CBGN Curncy,EIBASING Index,EHPISGY Index,USDSGDH3M BGN Curncy,BISBSGR  Index,FSSTI Index,,EIPRSING Index,SIQUTOTA Index,
,,,,,,,,,,,
ZAF,South Africa,SOAF CDS USD SR 5Y CBGN Curncy,EIBASOUT Index,EHPIZAY Index,USDZARH3M BGN Curncy,BISBZAR  Index,JALSH Index,WDTLSOUT Index,EIPRSOUT Index,IUERZAF Index,
,,,,,,,,,,,
KOR,South Korea,KOREA CDS USD SR 5Y CBGN Curncy,EIBAKORE Index,EHPIKRY Index,USDKRWH3M BGN Curncy,BISBKRR Index,KOSPI Index,WDTLKORE Index,EIPRKORE Index,KOEAUERS Index,
,,,,,,,,,,,
ESP,Spain,SPAIN CDS USD SR 5Y CBGN Curncy,EIBASPAN Index,EHPIESY Index,EURUSDH3M CURNCY,BISBESN Index,IBEX Index,WDTLSPAI Index,EIPRSPAN Index,EHUPESY Index,
,,,,,,,,,,,
SWE,Sweden,SWED CDS USD SR 5Y CBGN Curncy,EIBASWED Index,EHPISEY Index,USDSEKH3M Curncy,BISBSER Index,OMX Index,WDTLSWED Index,EIPRSWED Index,IUERSWE Index,
,,,,,,,,,,,
